epoch,acc,loss,val_acc,val_loss
0,0.4431818181818182,0.7075735601511869,0.36363636363636365,0.7120967543486393
1,0.42045454545454547,0.7041675773533908,0.3939393939393939,0.7088289658228556
2,0.4886363690549677,0.6995071281086315,0.3939393939393939,0.7025770346323649
3,0.4772727299820293,0.6953044425357472,0.42424242424242425,0.6980903600201462
4,0.49999999458139593,0.6932548663832925,0.48484848484848486,0.6923897663752238
5,0.590909096327695,0.6857073903083801,0.5454545454545454,0.6875473694367842
6,0.5681818208911202,0.6851077675819397,0.5454545454545454,0.6819614045547716
7,0.6363636417822405,0.6786746328527277,0.5757575757575758,0.6770920319990679
8,0.6477272727272727,0.6729461225596342,0.6666666666666666,0.6732215664603494
9,0.6590909145095132,0.6688635511831804,0.7575757575757576,0.6680910876303008
10,0.7727272727272727,0.6634033539078452,0.7878787878787878,0.664224689657038
11,0.8181818127632141,0.6579234329136935,0.7878787878787878,0.6590172738739939
12,0.8295454599640586,0.6501637209545482,0.8181818181818182,0.653323106693499
13,0.8409090909090909,0.6461291475729509,0.8787878787878788,0.648667964068326
14,0.8409090909090909,0.6433766050772234,0.8484848484848485,0.6430267655488217
15,0.8522727326913313,0.6379186944528059,0.8484848484848485,0.6377660252831199
16,0.8522727218541232,0.6304263797673312,0.9090909090909091,0.6326116341533083
17,0.8295454545454546,0.6225361553105441,0.9090909090909091,0.6283485437884475
18,0.8409090854904868,0.6213963302699003,0.9090909090909091,0.6224008816661257
19,0.8295454599640586,0.6152218959548257,0.9090909090909091,0.6169794526967135
20,0.8295454491268505,0.6109103235331449,0.9090909090909091,0.6121705084136038
21,0.8522727326913313,0.6034164699641141,0.9090909090909091,0.6067738894260291
22,0.840909096327695,0.6022142930464311,0.9090909090909091,0.6008711258570353
23,0.8409090909090909,0.5901982404968955,0.9090909090909091,0.5949704917994413
24,0.8295454545454546,0.5877614888277921,0.9090909090909091,0.5892217881751783
25,0.840909096327695,0.5819146795706316,0.9090909090909091,0.582171669512084
26,0.840909096327695,0.5776991519061002,0.9090909090909091,0.5771780664270575
27,0.8522727272727273,0.5681591521609913,0.9090909090909091,0.5710713014458165
28,0.8295454491268505,0.562046701257879,0.9090909090909091,0.5658529816251813
29,0.840909096327695,0.5566113482822072,0.9090909090909091,0.5603842608856432
30,0.840909096327695,0.5513329668478533,0.9090909090909091,0.5555183255311215
31,0.8636363582177595,0.5470197959379717,0.9090909090909091,0.5506832581577878
32,0.875,0.5383567430756309,0.9090909090909091,0.5460700194040934
33,0.9204545508731495,0.5298519351265647,0.8787878787878788,0.540856145548098
34,0.9204545454545454,0.5282035090706565,0.8787878787878788,0.5346352205131993
35,0.8863636417822405,0.5203122659163042,0.8787878787878788,0.5270343991843137
36,0.8863636417822405,0.5164716704325243,0.8787878787878788,0.5205051871863279
37,0.8522727218541232,0.5060587985949083,0.9090909090909091,0.5130023658275604
38,0.8977272673086687,0.5015440718694166,0.9090909090909091,0.5061273195526816
39,0.8977272727272727,0.4887753047726371,0.8787878787878788,0.49970408100070374
40,0.8863636309450323,0.4910168295556849,0.8787878787878788,0.49336710843172943
41,0.8863636363636364,0.48193262111056934,0.9090909090909091,0.48675886789957684
42,0.8863636309450323,0.4741242988543077,0.9090909090909091,0.48009420705564093
43,0.909090903672305,0.4729376462372867,0.9090909090909091,0.4735524898225611
44,0.8977272781458768,0.45881791548295453,0.9090909090909091,0.46789984450195776
45,0.8863636363636364,0.4649160775271329,0.9090909090909091,0.46160835750175244
46,0.9318181763995778,0.4503975673155351,0.9090909090909091,0.45531778624563507
